ID,Name,Surname,PhoneNumber,INFO(_email_)
1,Roma,Morozov,79880326937,666666666@mail.ru 
2,Dima,Zinchenko,79868327420,11111@gmail.com 
3,Igor,Usenko,79095883799,666666666@mail.ru 
4,Igor,Zinchenko,79545270518,5555555@gmail.com 
5,Anna,Kaleeva,79794684473,5555555@gmail.com 
6,Anna,Krasota,79551096704,666666666@mail.ru 
7,Denis,Zinchenko,79872206171,44444444@gmail.com 
8,Dima,Vitek,79654984913,2222222@yandex.ru 
9,Denis,Fomenko,79006605782,88888888@mail.ru 
10,Dima,Zinchenko,79700168093,99999999@yandex.ru 
11,Denis,Morozov,79897310279,11111@gmail.com 
12,Lina,Ivanov,79239830628,333333@mail.ru 
13,Sonya,Zinchenko,79349738954,77777777@mail.ru 
14,Denis,Kushnir,79541367054,333333@mail.ru 
15,Dima,Petrenko,79976358435,11111@gmail.com 
16,Igor,Zinchenko,79827369963,333333@mail.ru 
17,Denis,Zinchenko,79390989778,5555555@gmail.com 
18,Denis,Morozov,79010114457,77777777@mail.ru 
19,Denis,Zinchenko,79911777203,99999999@yandex.ru 
20,Anna,Morozov,79413512231,99999999@yandex.ru 
21,Lana,Vitek,79775290493,2222222@yandex.ru 
22,Sonya,Kushnir,79921891948,2222222@yandex.ru 
23,Natasha,Morozov,79547228864,88888888@mail.ru 
24,Denis,Petrenko,79695001321,88888888@mail.ru 
25,Kate,Kaleeva,79975366432,666666666@mail.ru 
